,false_negative_num,false_negative_refs,true_positive_num,true_positive_refs,false_positive_num,false_positive_refs
resurrection,0,[],1,"['https://www.sefaria.org.il/Sefer_HaIkkarim,_Maamar_4.35.2']",2,"['https://www.sefaria.org.il/Machzor_Rosh_Hashanah_Ashkenaz_Linear,_The_Morning_Prayers,_Yehi_Kevod.127', ""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17""]"
entourage-above,2,"['https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', 'https://www.sefaria.org.il/Midrash_Tehillim.104.1']",0,[],2,"['https://www.sefaria.org.il/Gittin.68a.10', 'https://www.sefaria.org.il/Derekh_HaMelekh,_Torah,_Chayei_Sara.2.10']"
revelation,1,['https://www.sefaria.org.il/Shemot_Rabbah.28.2'],4,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Isaiah.58.1-2']",30,"[""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', 'https://www.sefaria.org.il/The_Antiquities_of_the_Jews.10.10.2', 'https://www.sefaria.org.il/Machzor_Rosh_Hashanah_Ashkenaz_Linear,_The_Morning_Prayers,_Yehi_Kevod.127', 'https://www.sefaria.org.il/Sanhedrin.94b.12', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Numbers.11.18-20', ""https://www.sefaria.org.il/Otzar_Midrashim,_Midrash_on_Hallel_'Sefer_HaMa'asim'.1.7"", 'https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Radak_on_Genesis.27.19.1', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Ketubot.111a.19', ""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17"", ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/On_Dreams,_Book_II.16.1', ""https://www.sefaria.org.il/Mishpetei_Uziel,_Volume_VI,_Yoreh_De'ah.73.63"", 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24', 'https://www.sefaria.org.il/II_Kings.4.37']"
rituals1,5,"['https://www.sefaria.org.il/Pesachim.39a.1-15', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4', ""https://www.sefaria.org.il/Sha'ar_HaMitzvot,_Vayechi.18"", 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']",10,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Pesachim.109a.5', 'https://www.sefaria.org.il/Mishnah_Parah.4.2', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']",24,"[""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', ""https://www.sefaria.org.il/Sha'ar_HaPesukim,_Parashat_Balak.56"", 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Siddur_Ashkenaz,_Weekday,_Shacharit,_Amidah,_Knowledge.1', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Machzor_Yom_Kippur_Ashkenaz_Linear,_Neilah;_Concluding_Service,_Sanctification_of_the_Day.230', 'https://www.sefaria.org.il/Sefer_Chasidim.902.1', 'https://www.sefaria.org.il/II_Kings.4.37']"
chosenness,5,"['https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', ""https://www.sefaria.org.il/Otzar_Midrashim,_Midrash_on_Hallel_'Sefer_HaMa'asim'.1.7"", 'https://www.sefaria.org.il/Ketubot.66b.13', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Isaiah.58.1-2']",2,"['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Exodus.6.6-7']",6,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Machzor_Rosh_Hashanah_Ashkenaz_Linear,_The_Morning_Prayers,_Yehi_Kevod.127', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Mesilat_Yesharim.18.9']"
book-of-life,0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']",1,"[""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17""]"
prophetess,0,[],1,['https://www.sefaria.org.il/Radak_on_Genesis.27.19.1'],3,"['https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Isaiah.58.1-2']"
beit-din,2,"['https://www.sefaria.org.il/Ramban_on_Leviticus.19.18.1', 'https://www.sefaria.org.il/Tosefta_Bava_Metzia_(Lieberman).10.8']",0,[],1,['https://www.sefaria.org.il/Sanhedrin.17b.5']
angels,1,['https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1'],2,"['https://www.sefaria.org.il/Midrash_Tehillim.104.1', 'https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2']",2,"['https://www.sefaria.org.il/Derekh_HaMelekh,_Torah,_Chayei_Sara.2.10', 'https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Vayishlach.6.2']"
yetzer-hatov,0,[],0,[],4,"['https://www.sefaria.org.il/Derekh_Chayim.3.9.1-2', 'https://www.sefaria.org.il/Mishneh_Torah,_Human_Dispositions.1.1', 'https://www.sefaria.org.il/Proverbs.26.14', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15']"
yetzer-hara,1,['https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1'],2,"['https://www.sefaria.org.il/Reshit_Chokhmah,_Gate_of_Fear.8.28', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15']",4,"['https://www.sefaria.org.il/Derekh_Chayim.3.9.1-2', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Mishneh_Torah,_Human_Dispositions.1.1', 'https://www.sefaria.org.il/Proverbs.26.14']"
13-principles-of-faith,1,"['https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131']",1,"['https://www.sefaria.org.il/Machzor_Rosh_Hashanah_Ashkenaz_Linear,_The_Morning_Prayers,_Yehi_Kevod.127']",9,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', ""https://www.sefaria.org.il/Mishpetei_Uziel,_Volume_VI,_Yoreh_De'ah.73.63"", 'https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2', 'https://www.sefaria.org.il/II_Kings.4.37']"
nature,29,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Duties_of_the_Heart,_Fourth_Treatise_on_Trust.3.11', 'https://www.sefaria.org.il/Bava_Batra.45a.6', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Sanhedrin.94b.12', 'https://www.sefaria.org.il/Mishnah_Tahorot.8.6', 'https://www.sefaria.org.il/Horayot.6a.3', 'https://www.sefaria.org.il/Rashi_on_Genesis.25.27.1-28.1', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1"", 'https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1', 'https://www.sefaria.org.il/Sotah.37a.3', 'https://www.sefaria.org.il/Pesachim.39a.1-15', 'https://www.sefaria.org.il/Berakhot.6b.24', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.5.2.1', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.8', 'https://www.sefaria.org.il/Sefer_HaIkkarim,_Maamar_4.35.2', 'https://www.sefaria.org.il/Tosefta_Mikvaot.6.5', 'https://www.sefaria.org.il/Ketubot.66b.13', 'https://www.sefaria.org.il/Pesikta_DeRav_Kahanna.25.3', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Torah.771.2-3', 'https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2', 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15']",29,"['https://www.sefaria.org.il/Gittin.68a.10', 'https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/II_Chronicles.2.2', 'https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', 'https://www.sefaria.org.il/Berakhot.18b.7-9', 'https://www.sefaria.org.il/Midrash_Tehillim.119.28', 'https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.7.2.20', 'https://www.sefaria.org.il/Mishnah_Bava_Metzia.5.5', 'https://www.sefaria.org.il/Reshit_Chokhmah,_Gate_of_Fear.8.28', 'https://www.sefaria.org.il/Deuteronomy.3.15', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.9.7.7', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10', 'https://www.sefaria.org.il/Pesach_Haggadah,_Nirtzah,_Chad_Gadya.3', 'https://www.sefaria.org.il/Ketubot.111a.19', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2', 'https://www.sefaria.org.il/Proverbs.26.14', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13', 'https://www.sefaria.org.il/Taanit.7a.6', 'https://www.sefaria.org.il/Eruvin.56a.5-7']",25,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Talmud_Eser_HaSefirot,_Section_XIV,_List_of_Questions_on_Terminology.84', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Shabbat.140a.4', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Tikkunei_Zohar.36b.3', 'https://www.sefaria.org.il/Chagigah.6a.15', 'https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', 'https://www.sefaria.org.il/Mishneh_Torah,_Human_Dispositions.1.1', 'https://www.sefaria.org.il/Tur,_Choshen_Mishpat.398.4', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.1.9', 'https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Talmud_Eser_HaSefirot,_Section_XV,_List_of_Answers_on_Topics.231.1', ""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17"", 'https://www.sefaria.org.il/On_Dreams,_Book_II.16.1', 'https://www.sefaria.org.il/Mishnah_Parah.4.2', 'https://www.sefaria.org.il/The_Book_of_Maccabees_I_(Kahana_Translation).5.66', 'https://www.sefaria.org.il/Leviticus.19.17', 'https://www.sefaria.org.il/II_Kings.4.37']"
air,0,[],0,[],0,[]
animals,8,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Bava_Batra.45a.6', 'https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.7.2.20', 'https://www.sefaria.org.il/Horayot.6a.3', 'https://www.sefaria.org.il/Rashi_on_Genesis.25.27.1-28.1', 'https://www.sefaria.org.il/Pesach_Haggadah,_Nirtzah,_Chad_Gadya.3', 'https://www.sefaria.org.il/Ketubot.66b.13', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']",2,"['https://www.sefaria.org.il/Mishnah_Bava_Metzia.5.5', 'https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2']",3,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Leviticus.19.17', 'https://www.sefaria.org.il/II_Kings.4.37']"
ants,0,[],0,[],0,[]
astronomy,0,[],1,['https://www.sefaria.org.il/Eruvin.56a.5-7'],0,[]
birds,5,"['https://www.sefaria.org.il/Mishnah_Tahorot.8.6', 'https://www.sefaria.org.il/Rashi_on_Genesis.25.27.1-28.1', 'https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1', 'https://www.sefaria.org.il/Berakhot.6b.24', 'https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.9.7.7']",0,[],0,[]
camels,0,[],0,[],0,[]
cats,1,"['https://www.sefaria.org.il/Pesach_Haggadah,_Nirtzah,_Chad_Gadya.3']",0,[],0,[]
cedars,0,[],1,['https://www.sefaria.org.il/II_Chronicles.2.2'],0,[]
climate-change,0,[],0,[],0,[]
clouds,1,"['https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']",1,['https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1'],0,[]
dates,0,[],0,[],0,[]
deserts,1,"['https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']",0,[],1,['https://www.sefaria.org.il/Chagigah.6a.15']
dew,0,[],0,[],0,[]
dirt,1,"['https://www.sefaria.org.il/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.8']",0,[],0,[]
dogs,1,['https://www.sefaria.org.il/Mishnah_Tahorot.8.6'],3,"['https://www.sefaria.org.il/Reshit_Chokhmah,_Gate_of_Fear.8.28', 'https://www.sefaria.org.il/Pesach_Haggadah,_Nirtzah,_Chad_Gadya.3', 'https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2']",0,[]
donkeys,2,"['https://www.sefaria.org.il/Bava_Batra.45a.6', 'https://www.sefaria.org.il/Mishnah_Bava_Metzia.5.5']",1,['https://www.sefaria.org.il/Ketubot.111a.19'],0,[]
doves,0,[],0,[],0,[]
eagles,0,[],0,[],1,"['https://www.sefaria.org.il/On_Dreams,_Book_II.16.1']"
earth,0,[],1,['https://www.sefaria.org.il/Deuteronomy.8.7-10'],4,"['https://www.sefaria.org.il/Shabbat.140a.4', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Ketubot.111a.19']"
ecology,0,[],0,[],1,['https://www.sefaria.org.il/Deuteronomy.8.7-10']
energy,1,['https://www.sefaria.org.il/Proverbs.26.14'],0,[],3,"['https://www.sefaria.org.il/Mishneh_Torah,_Human_Dispositions.1.1', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Talmud_Eser_HaSefirot,_Section_XV,_List_of_Answers_on_Topics.231.1']"
environment,0,[],1,['https://www.sefaria.org.il/Deuteronomy.8.7-10'],0,[]
ewes,0,[],0,[],0,[]
figs,2,"['https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Tosefta_Mikvaot.6.5']",0,[],1,"['https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
fire,5,"['https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Sefer_HaIkkarim,_Maamar_4.35.2', 'https://www.sefaria.org.il/Pesikta_DeRav_Kahanna.25.3', 'https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2']",2,"['https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]",6,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
fish,1,"['https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10']",1,['https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.7.2.20'],1,"['https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
flax,0,[],0,[],0,[]
frogs,0,[],0,[],0,[]
gardening,0,[],0,[],2,"['https://www.sefaria.org.il/Berakhot.18b.7-9', 'https://www.sefaria.org.il/Deuteronomy.8.7-10']"
gazelles,0,[],0,[],0,[]
goats,2,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Horayot.6a.3']",0,[],0,[]
goats-(שעירים),3,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Horayot.6a.3', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1']",0,[],1,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7']"
grapes,0,[],1,['https://www.sefaria.org.il/Deuteronomy.8.7-10'],0,[]
grass,1,['https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.7.2.20'],0,[],1,"['https://www.sefaria.org.il/Talmud_Eser_HaSefirot,_Section_XIV,_List_of_Questions_on_Terminology.84']"
horses,0,[],0,[],0,[]
lambs,2,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3']",0,[],0,[]
land,3,"['https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.7.2.20', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1""]",4,"['https://www.sefaria.org.il/Deuteronomy.3.15', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6', 'https://www.sefaria.org.il/Eruvin.56a.5-7']",3,"['https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/The_Book_of_Maccabees_I_(Kahana_Translation).5.66']"
light,1,['https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1'],2,"['https://www.sefaria.org.il/Midrash_Tehillim.119.28', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]",3,"['https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18', ""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17""]"
lilies,0,[],0,[],0,[]
lions,0,[],0,[],1,['https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2']
arbeh,0,[],1,['https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.9.7.7'],0,[]
man-and-animals,1,['https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1'],0,[],0,[]
mice,0,[],0,[],0,[]
mountains,7,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Sanhedrin.94b.12', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']",2,"['https://www.sefaria.org.il/Gittin.68a.10', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2']",1,['https://www.sefaria.org.il/Chagigah.6a.15']
mules,0,[],0,[],0,[]
myrtles,0,[],1,"['https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18']",3,"['https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10']"
night,1,['https://www.sefaria.org.il/Shir_HaShirim_Rabbah.5.2.1'],1,['https://www.sefaria.org.il/Midrash_Tehillim.119.28'],2,"['https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/On_Dreams,_Book_II.16.1']"
oxen,0,[],0,[],0,[]
pigs,0,[],0,[],0,[]
plants,4,"['https://www.sefaria.org.il/Vayikra_Rabbah.30.5', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1"", 'https://www.sefaria.org.il/Pesachim.39a.1-15', 'https://www.sefaria.org.il/Tosefta_Mikvaot.6.5']",2,"['https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18']",5,"['https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Berakhot.18b.7-9', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Proverbs.26.14', 'https://www.sefaria.org.il/Taanit.7a.6']"
rain,2,"['https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']",2,"['https://www.sefaria.org.il/Berakhot.18b.7-9', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']",1,['https://www.sefaria.org.il/Deuteronomy.8.7-10']
rams,2,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Isaiah.58.1-2']",0,[],0,[]
ravens,0,[],0,[],0,[]
rivers,2,"['https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Torah.771.2-3']",0,[],0,[]
roosters,0,[],0,[],0,[]
science,0,[],1,['https://www.sefaria.org.il/Eruvin.56a.5-7'],1,"['https://www.sefaria.org.il/Talmud_Eser_HaSefirot,_Section_XIV,_List_of_Questions_on_Terminology.84']"
scorpions,1,['https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2'],0,[],0,[]
